Acupoint_Code,Relation,Action_Target,,,,,,,,,,,,,,,,,,,,,,,
LI19,diffuses,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,
LI19,clears,Lung Heat,,,,,,,,,,,,,,,,,,,,,,,
LI19,clears,Nose,,,,,,,,,,,,,,,,,,,,,,,
LI19,rouses,Spirit,,,,,,,,,,,,,,,,,,,,,,,
LI20,dispels,Exterior Wind,,,,,,,,,,,,,,,,,,,,,,,
ST1,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
ST1,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
ST1,stops,Lacrimation,,,,,,,,,,,,,,,,,,,,,,,
ST2,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
ST2,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
ST3,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
ST3,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
ST3,relieves,Swelling,,,,,,,,,,,,,,,,,,,,,,,
ST4,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
ST4,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
ST4,benefits,Tendons,,,,,,,,,,,,,,,,,,,,,,,
ST4,benefits,Muscles,,,,,,,,,,,,,,,,,,,,,,,
ST5,courses,Wind,,,,,,,,,,,,,,,,,,,,,,,
ST5,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
ST6,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
ST6,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
ST7,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
ST7,benefits,Ears,,,,,,,,,,,,,,,,,,,,,,,
ST8,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
ST8,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,
ST8,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
ST8,relieves,Dizziness,,,,,,,,,,,,,,,,,,,,,,,
ST8,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
ST9,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,
ST9,removes,Masses,,,,,,,,,,,,,,,,,,,,,,,
ST9,benefits,Throat,,,,,,,,,,,,,,,,,,,,,,,
ST9,relieves,Swelling,,,,,,,,,,,,,,,,,,,,,,,
ST10,rectifies,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,
ST10,disinhibits,Throat,,,,,,,,,,,,,,,,,,,,,,,
ST11,courses,Qi,,,,,,,,,,,,,,,,,,,,,,,
ST11,downbears,Counterflow,,,,,,,,,,,,,,,,,,,,,,,
ST12,subdues,Rebellious Qi,,,,,,,,,,,,,,,,,,,,,,,
ST13,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
ST13,loosens,Chest,,,,,,,,,,,,,,,,,,,,,,,
ST14,rectifies,Qi,,,,,,,,,,,,,,,,,,,,,,,
ST14,loosens,Chest,,,,,,,,,,,,,,,,,,,,,,,
ST15,courses,Wind,,,,,,,,,,,,,,,,,,,,,,,
ST15,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,
ST16,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
ST16,resolves,Depression,,,,,,,,,,,,,,,,,,,,,,,
ST16,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,
ST16,disperses,Swelling,,,,,,,,,,,,,,,,,,,,,,,
ST18,regulates,Stomach Qi,,,,,,,,,,,,,,,,,,,,,,,
ST18,regulates,Breasts,,,,,,,,,,,,,,,,,,,,,,,
ST18,regulates,Lactation,,,,,,,,,,,,,,,,,,,,,,,
ST18,dispels,Stagnation,,,,,,,,,,,,,,,,,,,,,,,
ST19,regulates,Center,,,,,,,,,,,,,,,,,,,,,,,
ST19,harmonizes,Stomach,,,,,,,,,,,,,,,,,,,,,,,
ST20,harmonizes,Stomach,,,,,,,,,,,,,,,,,,,,,,,
ST20,rectifies,Qi,,,,,,,,,,,,,,,,,,,,,,,
ST21,regulates,Stomach,,,,,,,,,,,,,,,,,,,,,,,
ST21,subdues,Rebellious Qi,,,,,,,,,,,,,,,,,,,,,,,
ST21,stops,Vomiting,,,,,,,,,,,,,,,,,,,,,,,
ST21,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,
ST22,regulates,Stomach,,,,,,,,,,,,,,,,,,,,,,,
ST22,regulates,Intestines,,,,,,,,,,,,,,,,,,,,,,,
ST23,clears,Heart,,,,,,,,,,,,,,,,,,,,,,,
ST23,quiets,Spirit,,,,,,,,,,,,,,,,,,,,,,,
ST23,fortifies,Spleen,,,,,,,,,,,,,,,,,,,,,,,
ST23,harmonizes,Center,,,,,,,,,,,,,,,,,,,,,,,
ST24,quiets,Spirit,,,,,,,,,,,,,,,,,,,,,,,
ST24,stabilizes,Disposition,,,,,,,,,,,,,,,,,,,,,,,
ST24,regulates,Stomach,,,,,,,,,,,,,,,,,,,,,,,
ST24,harmonizes,Stomach,,,,,,,,,,,,,,,,,,,,,,,
ST24,regulates,Intestines,,,,,,,,,,,,,,,,,,,,,,,
ST24,harmonizes,Intestines,,,,,,,,,,,,,,,,,,,,,,,
ST25,promotes,Intestines Function,,,,,,,,,,,,,,,,,,,,,,,
ST25,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
ST25,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,
ST25,relieves,Food Retention,,,,,,,,,,,,,,,,,,,,,,,
ST26,dissipates,Cold,,,,,,,,,,,,,,,,,,,,,,,
ST26,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,
ST26,rectifies,Qi,,,,,,,,,,,,,,,,,,,,,,,
ST27,regulates,Stomach Qi,,,,,,,,,,,,,,,,,,,,,,,
ST28,benefits,Urination,,,,,,,,,,,,,,,,,,,,,,,
ST28,opens,Water Passages,,,,,,,,,,,,,,,,,,,,,,,
ST28,benefits,Urination Difficulty,,,,,,,,,,,,,,,,,,,,,,,
ST29,relieves,Blood Stagnation,,,,,,,,,,,,,,,,,,,,,,,
ST30,regulates,Stomach Qi,,,,,,,,,,,,,,,,,,,,,,,
ST30,regulates,Penetrating Vessels,,,,,,,,,,,,,,,,,,,,,,,
ST30,promotes,Essence,,,,,,,,,,,,,,,,,,,,,,,
ST30,tonifies,Nourishment,,,,,,,,,,,,,,,,,,,,,,,
ST30,regulates,Blood,,,,,,,,,,,,,,,,,,,,,,,
ST31,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
ST32,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
ST32,expels,Wind Heat,,,,,,,,,,,,,,,,,,,,,,,
ST33,courses,Wind,,,,,,,,,,,,,,,,,,,,,,,
ST33,dissipates,Cold,,,,,,,,,,,,,,,,,,,,,,,
ST33,frees,Channels,,,,,,,,,,,,,,,,,,,,,,,
ST33,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
ST33,disinhibits,Joints,,,,,,,,,,,,,,,,,,,,,,,
ST34,subdues,Rebellious Stomach Qi,,,,,,,,,,,,,,,,,,,,,,,
ST34,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
